0169 R L68 C30 H22 #ff535c
0170 S L69 C8 H30 #cb897e
0171 R L70 C31 H27 #ff6155
0172 R L70 C27 H23 #ff6063
0173 R L70 C30 H16 #ff6075
0174 P L70 C23 H19 #ff636e
0175 R L71 C33 H20 #ff6970
0176 S L71 C16 H25 #f6756e
0177 P L72 C21 H27 #ff7065
0178 S L73 C7 H28 #d2978f
0179 R L74 C29 H22 #ff7b7a
0180 R L74 C25 H18 #ff7c83
0181 R L74 C25 H28 #ff7e71
0182 P L75 C17 H16 #ff7f8c
0183 S L75 C14 H27 #fd887c
0184 S L76 C6 H16 #d2a3a5
0185 S L76 C11 H20 #f29494
0186 R L77 C22 H27 #ff9185
0187 R L78 C18 H24 #ff948f
0188 S L80 C6 H27 #e1b2ac
0189 R L81 C19 H30 #ffa99b
0190 R L83 C15 H27 #ffafa5
0191 S L83 C9 H23 #feafab
0192 R L86 C13 H28 #ffbfb6
0193 R L92 C8 H24 #ffd9d6
0194 S L16 C5 H31 #1f0301
0195 P L29 C11 H35 #541000
0196 S L33 C7 H35 #542519
0197 S L36 C11 H31 #6b1e13
0198 P L38 C15 H35 #791a00
0199 S L40 C12 H30 #7c261b
0200 S L42 C5 H31 #66443d
0201 S L42 C15 H33 #8f1c05
0202 S L48 C16 H32 #a62a15
0203 S L49 C10 H45 #8d4c2e
0204 P L51 C18 H37 #b23200
0205 S L52 C15 H39 #ab421c
0206 S L52 C7 H40 #8d5b4b
0207 P L54 C17 H45 #b44800
0208 P L55 C22 H35 #ca3300
0209 S L56 C16 H35 #be4729
0210 S L58 C9 H32 #aa6456
0211 S L58 C13 H32 #bc5946
0212 S L59 C17 H30 #cf4837
0213 P L61 C22 H37 #e34500
0214 S L62 C18 H41 #d9561b
0215 P L64 C26 H32 #fd2f00
0216 S L64 C15 H34 #d8684e
0217 S L65 C21 H34 #f44e29
0218 S L66 C6 H33 #b58479
0219 S L66 C11 H40 #cb795c
0220 P L67 C23 H36 #ff5019
0221 P L67 C22 H44 #f46200
0222 R L69 C27 H31 #ff5b42
0223 S L69 C20 H36 #fd6239
0224 S L70 C15 H40 #ec7a50
0225 S L70 C18 H44 #f9712b
0226 S L70 C4 H38 #b8988d
0227 S L72 C11 H42 #dd8c6e
0228 R L72 C29 H31 #ff755e
0229 R L72 C26 H36 #ff7752
0230 S L73 C14 H41 #f18862
0231 R L74 C24 H43 #ff8550
0232 P L76 C19 H35 #ff8b6d
0233 R L78 C25 H34 #ff947d
0234 P L78 C16 H34 #ff977f
0235 S L78 C9 H42 #eda589
0236 R L79 C22 H36 #ff9c81
0237 R L79 C23 H44 #ffa077
0238 P L80 C14 H44 #ffa47d
0239 R L82 C18 H43 #ffaf8f
0240 P L84 C11 H44 #ffb595
0241 R L85 C16 H40 #ffbda6
0242 S L87 C5 H39 #f3c8ba
0243 R L87 C10 H37 #ffc6b6
0244 P L11 C4 H45 #0d0200
0245 S L19 C5 H53 #240d01
0246 P L25 C7 H55 #381800
0247 P L36 C9 H58 #5d2f00
0248 S L36 C4 H46 #50372b
0249 S L41 C10 H47 #743612
0250 P L43 C14 H46 #853500
0251 S L45 C7 H49 #77492f
0252 P L48 C14 H48 #954100
0253 S L49 C5 H56 #765843
0254 P L50 C13 H57 #964e00
0255 S L52 C11 H48 #9c542b
0256 S L57 C9 H55 #a1673e
0257 R L59 C18 H51 #c15c00
0258 S L62 C9 H58 #b1794c
0259 S L64 C15 H54 #cd6e22
0260 S L66 C9 H53 #bd845f
0261 P L67 C19 H50 #e86d00
0262 S L71 C17 H54 #ef7d18
0263 S L71 C13 H60 #de8d46
0264 P L72 C22 H46 #ff7525
0265 R L73 C20 H57 #fa8500
0266 P L76 C16 H49 #ff8e4d
0267 R L76 C21 H46 #ff8f57
0268 R L78 C21 H56 #ff9d4f
0269 R L81 C17 H52 #ffaa76
0270 R L81 C21 H48 #ffab80
0271 R L85 C18 H56 #ffbf92
0272 R L87 C14 H55 #ffc9a4
0273 R L90 C11 H53 #ffd2b8
0274 S L29 C5 H70 #3b2508
0275 P L31 C8 H71 #452a00
0276 R L45 C11 H73 #764c00
0277 P L50 C12 H74 #865800
0278 R L55 C15 H61 #a45b00
0279 P L59 C14 H60 #b56500
0280 S L61 C5 H65 #997d64
0281 P L62 C15 H70 #b77500
0282 P L67 C16 H65 #d27e00
0283 S L68 C10 H68 #c08d56
0284 R L70 C18 H69 #da8900
0285 S L71 C14 H74 #d5901a
0286 S L75 C11 H62 #e09c5d
0287 P L75 C16 H72 #ea9900
0288 S L75 C7 H63 #cca583
0289 P L77 C18 H63 #ff9709
0290 S L78 C12 H68 #eaa95f
0291 P L80 C18 H72 #ffa917
0292 S L82 C10 H62 #f4b47c
0293 R L82 C21 H62 #ffb16b
0294 P L82 C15 H65 #ffb262
0295 S L85 C13 H75 #fdc067
0296 R L85 C20 H72 #ffc06e
0297 S L86 C8 H72 #f1c997
0298 R L88 C18 H74 #ffcc89
0299 P L91 C6 H61 #ffdabc
0300 P L40 C9 H80 #5d4100
0301 S L43 C6 H85 #614d23
0302 S L51 C8 H84 #7c632c
0303 S L53 C5 H76 #7b674a
0304 S L54 C11 H79 #916710
0305 P L57 C14 H78 #9e6d00
0306 S L57 C5 H78 #887456
0307 S L58 C8 H84 #92773e
0308 R L60 C14 H86 #a07900
0309 S L61 C11 H83 #a37e2e
0310 S L65 C13 H76 #ba821e
0311 R L66 C16 H77 #c28500
0312 S L66 C5 H78 #a6906f
