3167 R L90 C10 H35 #ffd3c8
3168 S L33 C8 H59 #532a01
3169 P L41 C12 H51 #773500
3170 S L42 C6 H56 #65432b
3171 P L53 C14 H51 #a84e00
3172 P L55 C16 H52 #b15600
3173 S L58 C7 H46 #9c6e58
3174 S L61 C10 H45 #b36f4f
3175 P L61 C18 H52 #cc6200
3176 S L63 C12 H55 #c27236
3177 S L73 C11 H55 #dc9361
3178 S L73 C14 H51 #ed894a
3179 R L79 C21 H48 #ff9d6a
3180 P L81 C15 H53 #ffa86e
3181 P L84 C12 H58 #ffb882
3182 S L32 C5 H68 #452d12
3183 S L38 C8 H72 #5a3a08
3184 P L47 C12 H65 #824b00
3185 S L48 C10 H64 #84521a
3186 R L56 C14 H69 #a16300
3187 R L59 C15 H70 #ab6d00
3188 S L64 C6 H66 #a68462
3189 S L65 C14 H64 #c87814
3190 S L66 C11 H68 #bc8444
3191 S L73 C13 H70 #dc973d
3192 S L73 C16 H65 #ea8f19
3193 P L78 C18 H71 #f8a100
3194 S L81 C13 H67 #f9af5e
3195 R L82 C20 H73 #ffb33f
3196 R L84 C17 H69 #ffbb6b
3197 R L85 C21 H65 #ffbd7c
3198 R L87 C13 H64 #ffc691
3199 R L90 C13 H64 #ffd5af
3200 R L94 C7 H69 #ffe8cf
3201 S L30 C4 H86 #352b16
3202 S L49 C10 H85 #7b5b04
3203 P L62 C13 H83 #aa7d00
3204 P L70 C16 H78 #cf9100
3205 S L70 C10 H81 #c19950
3206 S L77 C7 H77 #ccae82
3207 S L78 C4 H79 #c7b69a
3208 S L79 C11 H85 #dcb662
3209 R L85 C20 H81 #ffc147
3210 P L86 C18 H82 #ffc656
3211 R L88 C19 H81 #ffd07d
3212 P L88 C13 H82 #ffd27c
3213 R L89 C21 H86 #ffd575
3214 R L90 C16 H77 #ffd699
3215 R L96 C7 H90 #fff1ce
3216 S L38 C7 H102 #4a4309
3217 S L40 C4 H103 #4c4a31
3218 P L46 C10 H96 #675600
3219 S L51 C8 H103 #6d672a
3220 R L61 C15 H96 #9b8200
3221 S L66 C7 H98 #9d9262
3222 S L73 C7 H99 #b2a978
3223 R L73 C18 H101 #bdaa00
3224 S L75 C13 H93 #cbab40
3225 S L77 C10 H102 #bfb66c
3226 S L77 C14 H100 #c9b639
3227 S L78 C13 H93 #d3b54b
3228 R L79 C20 H105 #cdc000
3229 P L80 C19 H93 #e1ba00
3230 S L81 C9 H93 #d6c17d
3231 P L85 C18 H100 #e9ce00
3232 S L86 C12 H90 #eece74
3233 S L93 C17 H103 #fcea53
3234 R L93 C23 H102 #ffea33
3235 S L94 C13 H102 #fcee86
3236 S L27 C4 H111 #26270d
3237 S L46 C9 H111 #595c1b
3238 S L48 C5 H111 #5f6142
3239 S L59 C8 H119 #78844b
3240 R L61 C17 H116 #808d00
3241 S L62 C13 H117 #808f21
3242 S L62 C9 H109 #898a4b
3243 R L65 C17 H111 #969800
3244 S L70 C7 H115 #9ea56f
3245 R L72 C18 H110 #abab00
3246 S L79 C8 H111 #bbbf86
3247 S L80 C17 H116 #b8c92e
3248 R L81 C22 H117 #bbcf00
3249 S L84 C11 H107 #d2cf7b
3250 R L84 C23 H116 #c6d900
3251 S L86 C4 H107 #d3d3b3
3252 P L87 C21 H114 #d4e100
3253 S L90 C14 H110 #e3e671
3254 R L90 C23 H109 #e9e700
3255 R L91 C25 H119 #d1f300
3256 S L91 C19 H112 #e5ec29
3257 S L93 C4 H120 #e4edcc
3258 S L95 C5 H115 #eef4cc
3259 R L98 C12 H106 #fffdc8
3260 R L34 C11 H129 #294000
3261 S L38 C6 H131 #364826
3262 P L43 C11 H125 #425900
3263 S L49 C9 H128 #526b2d
3264 P L49 C15 H126 #4f6e00
3265 S L53 C6 H122 #67724b
3266 P L54 C16 H128 #567e00
3267 S L55 C10 H121 #697a35
3268 P L57 C19 H134 #4a8c00
3269 S L61 C6 H131 #758a64
3270 R L62 C21 H132 #5e9a00
3271 S L64 C13 H124 #7a9933
3272 P L65 C17 H121 #819b00
3273 P L65 C21 H132 #65a400
3274 P L72 C20 H123 #91b500
3275 S L74 C15 H128 #90bc50
3276 P L75 C23 H128 #8ac300
3277 P L78 C20 H123 #9fc900
3278 S L79 C11 H120 #b1c574
3279 S L81 C14 H124 #adcf64
3280 R L81 C25 H127 #9ed700
3281 R L82 C27 H132 #88df00
3282 S L82 C20 H125 #a8da1c
3283 S L83 C11 H125 #b8d586
3284 S L85 C19 H127 #abe445
3285 S L85 C22 H133 #91eb3b
3286 S L85 C16 H133 #a5e576
3287 S L88 C19 H122 #c3eb41
3288 S L90 C17 H130 #b7f36f
3289 S L91 C20 H130 #b4fc5c
3290 S L91 C10 H124 #d4efa3
3291 R L94 C18 H133 #c3ff96
3292 S L94 C13 H134 #c6fea4
3293 R L94 C23 H124 #d2ff65
3294 S L98 C5 H131 #ecffdc
3295 R L20 C7 H140 #031b00
3296 R L27 C10 H141 #063100
3297 S L29 C9 H139 #103502
3298 P L33 C12 H139 #144200
3299 S L41 C13 H139 #1d5804
3300 R L42 C16 H138 #245c00
3301 P L45 C16 H140 #1b6800
3302 P L47 C19 H146 #006e20
3303 S L50 C13 H149 #147734
3304 P L50 C21 H144 #007a16
3305 S L51 C17 H143 #107d0f
3306 S L53 C10 H149 #3d7c4b
3307 R L55 C23 H149 #008a3a
3308 P L57 C24 H146 #00922c
3309 S L58 C11 H146 #4a8d51
3310 P L60 C24 H145 #009a23
3311 R L61 C31 H150 #009d45
3312 S L63 C12 H147 #539d5c
3313 P L63 C23 H144 #00a725
3314 S L64 C7 H145 #719972
3315 S L66 C18 H138 #53a92c
3316 S L66 C10 H143 #6fa26c
3317 R L67 C31 H147 #00b33e
3318 P L67 C26 H146 #00b53a
3319 S L68 C13 H138 #71aa5a
3320 S L69 C21 H139 #4ab61e
3321 S L69 C15 H147 #52b461
3322 P L69 C22 H146 #00bc39
3323 S L73 C22 H147 #09c84a
3324 P L73 C28 H143 #00cc20
3325 P L74 C22 H135 #68c800
3326 S L75 C20 H147 #37d05b
3327 P L76 C26 H145 #00d73a
3328 S L76 C12 H146 #7fc784
3329 S L77 C24 H140 #4ad508
3330 S L77 C6 H144 #9dbe9b
3331 R L77 C30 H140 #3fd600
3332 P L77 C28 H150 #00d762
3333 S L77 C20 H141 #62d34f
3334 R L78 C36 H147 #00db51
3335 R L79 C31 H149 #00df62
3336 S L80 C13 H138 #93d07f
3337 R L80 C32 H141 #3de300
3338 S L81 C7 H141 #a8cda2
3339 S L81 C16 H150 #6bdd87
3340 S L81 C18 H138 #86dc64
3341 P L82 C30 H147 #00eb59
3342 S L82 C23 H148 #1fea63
3343 P L83 C34 H147 #00f057
3344 P L83 C30 H142 #24f100
3345 S L85 C26 H141 #58f333
3346 P L85 C29 H147 #00f760
3347 R L86 C37 H149 #00f96e
3348 R L86 C39 H146 #00fb56
3349 S L87 C16 H144 #8fef8d
3350 S L87 C10 H137 #b6e4a4
3351 S L88 C27 H138 #70fb0d
3352 S L89 C20 H140 #90fa74
3353 R L89 C31 H141 #7cff61
3354 R L90 C29 H136 #90ff46
3355 S L92 C7 H140 #cdefc6
3356 R L93 C17 H144 #afffae
3357 R L10 C6 H152 #000601
3358 R L16 C7 H153 #001205
3359 P L23 C7 H157 #002311
3360 R L26 C13 H156 #002d16
3361 S L26 C6 H155 #022d16
3362 R L29 C11 H153 #003518
3363 R L40 C19 H159 #005735
3364 S L41 C7 H161 #25563f
3365 R L43 C20 H160 #005f3c
3366 R L43 C15 H158 #00613a
3367 S L46 C8 H153 #2f6541
3368 R L47 C21 H157 #006b3f
3369 R L48 C23 H151 #007234
3370 R L48 C18 H152 #007238
3371 R L49 C17 H158 #007447
3372 S L50 C12 H156 #107646
3373 R L50 C25 H155 #007842
3374 R L51 C23 H162 #007850
3375 S L53 C7 H158 #467a5c
3376 P L55 C14 H157 #008651
3377 R L58 C23 H163 #009063
3378 R L58 C25 H157 #009157
3379 S L59 C15 H150 #1b9649
3380 R L60 C18 H164 #00976b
3381 R L60 C26 H153 #009952
3382 P L60 C20 H154 #009955
3383 R L61 C23 H154 #009c56
3384 R L61 C27 H160 #009d67
3385 R L62 C20 H164 #009f70
3386 S L62 C8 H160 #5d9577
3387 S L63 C16 H153 #1aa45a
3388 S L63 C10 H158 #4e9d72
3389 R L64 C26 H150 #00a74d
3390 R L64 C31 H155 #00a760
3391 R L65 C22 H158 #00aa69
3392 R L65 C28 H154 #00ab5d
3393 P L65 C18 H154 #00ab5e
3394 R L67 C24 H157 #00b06c
3395 R L69 C26 H153 #00bb63
3396 R L71 C36 H152 #00c261
3397 R L72 C37 H156 #00c273
3398 R L72 C33 H164 #00c38b
3399 S L72 C15 H159 #3cc183
3400 R L73 C33 H160 #00c581
3401 S L75 C15 H164 #2bca92
3402 R L75 C28 H163 #00cc8e
3403 R L75 C37 H150 #00cf61
3404 P L75 C24 H152 #00d16c
3405 R L77 C25 H162 #00d694
3406 R L79 C38 H155 #00df80
3407 S L80 C4 H158 #a7c5b2
3408 P L80 C21 H165 #00e0a3
3409 R L81 C42 H153 #00e77d
3410 S L82 C11 H164 #7bdbb1
3411 R L82 C36 H155 #00ea87
3412 R L83 C32 H153 #00ed7e
3413 R L84 C29 H164 #00efab
3414 R L84 C39 H155 #00f18d
3415 S L84 C8 H152 #a3dcb1
3416 R L85 C37 H162 #00f0a7
3417 P L86 C23 H158 #00f69a
3418 S L86 C16 H152 #78ee9b
3419 R L88 C23 H161 #00ffac
3420 R L92 C18 H157 #8effbe
3421 R L92 C15 H151 #a3ffba
3422 R L94 C13 H165 #adffdb
3423 S L39 C6 H172 #1c4f41
3424 R L39 C13 H167 #00533d
3425 R L41 C18 H167 #005740
3426 S L43 C7 H173 #245d4d
3427 P L47 C12 H169 #006c52
3428 S L49 C6 H175 #396b5d
3429 R L52 C18 H165 #007d5a
3430 R L53 C18 H177 #007e6b
3431 R L53 C15 H176 #007f6b
3432 R L56 C19 H175 #008870
3433 P L56 C12 H170 #008a6a
3434 R L60 C23 H174 #00957b
3435 S L61 C4 H170 #6b8b7f
3436 R L62 C20 H178 #009b85
3437 R L62 C25 H165 #009e72
3438 P L63 C15 H174 #009f83
3439 P L65 C16 H167 #00a87e
3440 S L66 C5 H174 #769d91
3441 P L70 C17 H174 #00b898
3442 R L70 C26 H165 #00ba88
3443 R L72 C29 H172 #00bf99
3444 S L72 C7 H171 #79b39f
3445 R L73 C22 H168 #00c597
3446 R L73 C22 H180 #00c3ab
3447 P L73 C18 H168 #00c696
3448 R L74 C27 H171 #00c79e
3449 P L75 C16 H175 #00c9a8
3450 R L76 C21 H179 #00cdb2
3451 R L76 C31 H176 #00ceae
3452 R L77 C27 H178 #00d0b3
3453 S L78 C7 H172 #85c6b2
3454 R L78 C23 H172 #00d5ac
3455 R L79 C26 H176 #00d7b5
3456 S L80 C9 H168 #84d0b2
3457 P L80 C18 H175 #00ddb8
3458 R L80 C28 H171 #00dfb2
3459 R L81 C34 H165 #00e2a5
3460 S L82 C15 H172 #2de2b8
3461 R L83 C29 H168 #00e7b1
3462 P L83 C24 H166 #00ebad
3463 R L83 C21 H179 #00e8cb
3464 R L84 C31 H174 #00ebc3
3465 R L85 C34 H178 #00eecd
3466 R L85 C34 H171 #00efc0
3467 S L86 C11 H167 #83eac3
3468 R L87 C29 H170 #00f7c2
3469 S L87 C17 H167 #2cf8bd
3470 P L87 C22 H171 #00f8c6
3471 S L88 C13 H171 #6cf2cb
3472 S L88 C8 H178 #9fe9d8
3473 R L91 C17 H169 #75ffd2
3474 S L94 C4 H178 #cff6ec
3475 P L95 C7 H166 #c4ffe5
3476 R L97 C5 H178 #d9fff5
3477 R L20 C7 H191 #001a19
3478 S L23 C4 H191 #042221
3479 R L32 C9 H190 #003a38
3480 R L37 C11 H180 #004c42
3481 R L40 C10 H184 #00534b
3482 R L44 C14 H189 #005f5b
3483 P L46 C8 H189 #006560
3484 R L48 C17 H194 #006d6c
3485 R L53 C19 H190 #007b76
3486 R L53 C13 H194 #007d7b
3487 R L53 C16 H194 #007d7c
3488 R L56 C20 H184 #00887c
3489 P L59 C12 H186 #008f84
3490 P L64 C14 H191 #00a19c
3491 R L64 C19 H182 #00a392
3492 R L66 C22 H181 #00a996
3493 P L68 C13 H180 #00af9b
3494 R L68 C25 H190 #00aea8
3495 R L68 C24 H182 #00b09d
3496 P L70 C15 H180 #00b9a3
3497 R L71 C18 H185 #00bbad
3498 R L73 C28 H184 #00c3b2
3499 P L74 C16 H185 #00c5b5
3500 R L75 C20 H195 #00c6c5
3501 S L75 C12 H183 #3ac8b6
3502 R L76 C25 H186 #00cdbe
3503 R L78 C22 H183 #00d3bf
3504 R L79 C19 H191 #00d5ce
3505 R L80 C24 H181 #00dac2
3506 R L80 C29 H192 #00d8d3
3507 R L82 C29 H187 #00e1d2
3508 R L83 C24 H188 #00e5d8
3509 R L83 C21 H191 #00e4dd
3510 S L84 C5 H180 #a6d8cd
3511 R L85 C28 H186 #00ecdb
3512 P L85 C18 H193 #00ece8
3513 R L85 C27 H181 #00eed5
3514 R L86 C27 H193 #00edeb
3515 R L87 C21 H189 #00f2e6
3516 R L87 C24 H186 #00f3e3
3517 R L93 C15 H192 #7ffff9
3518 S L26 C4 H199 #01292b
3519 S L34 C4 H203 #1c3f41
3520 R L41 C15 H200 #00565a
3521 S L43 C7 H195 #115b5b
3522 R L44 C15 H204 #005e65
3523 P L52 C11 H209 #007683
3524 S L52 C6 H200 #367376
3525 R L52 C17 H205 #007781
3526 R L55 C19 H202 #008188
3527 R L55 C13 H199 #008387
3528 R L57 C20 H195 #008a8b
3529 S L58 C6 H200 #488588
3530 P L63 C14 H202 #009da6
3531 S L64 C8 H205 #4a9aa3
3532 R L65 C21 H210 #00a3b6
3533 R L66 C17 H203 #00a4ae
3534 S L70 C10 H206 #3bb0bd
3535 R L71 C26 H196 #00b7b8
3536 S L72 C11 H203 #34b8c3
3537 R L73 C24 H200 #00bdc4
3538 P L74 C14 H207 #00c1d3
3539 S L74 C11 H207 #49becd
3540 R L74 C21 H204 #00c3d0
3541 R L76 C25 H198 #00c8cc
3542 P L76 C16 H198 #00c8ce
3543 R L77 C21 H195 #00cfcf
3544 R L78 C18 H210 #00cee6
3545 R L80 C21 H205 #00d6e7
3546 S L82 C10 H201 #6ed6dd
3547 S L83 C12 H207 #55def0
3548 P L84 C19 H200 #00e6ef
3549 S L90 C8 H196 #98efef
3550 S L92 C7 H208 #aaf2fd
3551 R L28 C9 H218 #002f39
3552 R L35 C12 H211 #00424c
3553 R L38 C14 H214 #004c59
3554 R L43 C17 H219 #00586b
3555 R L44 C14 H218 #005c70
3556 R L47 C20 H225 #00647e
3557 S L49 C6 H225 #37677a
3558 R L50 C20 H222 #006d87
3559 R L51 C13 H216 #007388
3560 R L52 C16 H223 #007592
3561 S L53 C5 H223 #4d717e
3562 P L55 C11 H217 #007e96
3563 R L56 C22 H219 #00809b
3564 P L57 C13 H220 #0086a3
3565 R L60 C18 H215 #008ea6
3566 R L62 C20 H218 #0096b3
3567 P L63 C12 H224 #0096bc
3568 P L63 C14 H221 #0098b9
3569 R L66 C27 H220 #00a3c6
3570 R L67 C26 H212 #00a6bd
3571 R L69 C27 H212 #00aec7
3572 P L70 C13 H215 #00b1cf
3573 R L71 C21 H217 #00b5d6
3574 R L72 C27 H211 #00b7cf
3575 P L72 C16 H219 #00b7db
3576 S L73 C7 H214 #76b4c3
3577 P L76 C16 H212 #00c6e1
3578 R L77 C22 H214 #00c8e6
3579 S L82 C8 H222 #85cfe8
3580 R L24 C9 H234 #002435
3581 R L29 C14 H239 #002f48
3582 R L34 C11 H232 #003e57
3583 R L36 C16 H233 #00425d
3584 R L37 C18 H233 #004662
3585 P L39 C11 H239 #00496c
3586 R L48 C17 H226 #006784
3587 R L48 C22 H239 #006594
3588 R L49 C25 H239 #006798
3589 S L51 C11 H238 #146e9c
3590 P L51 C13 H230 #007196
3591 R L53 C28 H237 #0073a5
3592 S L54 C9 H226 #297996
3593 R L54 C21 H226 #007b9e
3594 R L55 C25 H230 #007ba3
3595 P L55 C12 H233 #007aa7
3596 R L56 C20 H239 #007cb5
3597 R L60 C16 H227 #008cb4
3598 S L62 C6 H231 #618da4
3599 R L66 C20 H232 #009ed3
3600 R L67 C19 H225 #00a6d1
3601 S L68 C6 H239 #769eb9
3602 S L70 C13 H231 #30aade
3603 S L70 C8 H237 #6aa6cc
3604 R L74 C19 H226 #00bcef
3605 S L78 C5 H233 #96bfd6
3606 R L10 C6 H242 #00040a
3607 R L19 C16 H250 #00142a
3608 R L20 C11 H254 #001632
3609 R L21 C10 H250 #001a33
3610 R L24 C16 H249 #00203d
3611 P L25 C9 H248 #002441
3612 R L27 C21 H247 #002847
3613 P L32 C11 H254 #003264
3614 S L33 C6 H243 #103752
3615 R L33 C25 H249 #003862
3616 R L34 C13 H249 #003a67
3617 R L35 C28 H246 #003d64
3618 S L38 C9 H251 #154370
3619 S L38 C4 H253 #364456
3620 R L38 C15 H249 #004678
3621 R L41 C34 H251 #004c88
3622 R L42 C28 H254 #004b92
3623 S L43 C11 H245 #075486
3624 R L43 C16 H242 #005683
3625 S L45 C7 H241 #2f5976
3626 R L46 C16 H241 #005d8d
3627 R L47 C26 H246 #005f99
3628 R L48 C34 H247 #0060a0
3629 S L48 C9 H252 #35608e
3630 R L50 C26 H245 #0067a3
3631 P L50 C15 H249 #0065ab
3632 R L51 C26 H251 #0067b5
3633 R L51 C22 H246 #006aab
3634 R L52 C31 H242 #006ea7
3635 R L53 C23 H250 #006dbd
3636 R L53 C17 H241 #0072ab
3637 R L55 C28 H240 #0079b3
3638 R L55 C20 H247 #0077c3
3639 S L58 C17 H253 #077add
3640 R L58 C22 H242 #0082c3
3641 R L58 C24 H244 #0082c9
3642 P L60 C18 H248 #0084da
3643 S L61 C7 H247 #5f87ac
3644 R L61 C21 H247 #0088dc
3645 S L61 C16 H250 #2487dd
3646 P L62 C19 H246 #008ce1
3647 S L65 C5 H243 #7894ac
3648 P L66 C21 H246 #0098f1
3649 S L66 C11 H242 #519ace
3650 R L14 C8 H257 #00091e
3651 S L21 C7 H266 #081537
3652 R L23 C17 H259 #001945
3653 R L23 C14 H260 #00194a
3654 S L24 C6 H262 #101e39
3655 S L24 C12 H266 #061655
3656 R L31 C21 H261 #002970
3657 R L32 C20 H255 #003165
3658 R L33 C23 H270 #1a00a2
3659 R L33 C18 H261 #002e7c
3660 S L34 C11 H258 #10376e
3661 S L35 C21 H268 #1516a5
3662 S L36 C17 H262 #012f91
3663 R L38 C27 H265 #0600cd
3664 S L39 C7 H268 #35446e
3665 P L40 C17 H257 #004594
3666 S L41 C13 H265 #26448e
3667 R L43 C30 H262 #0043ba
3668 S L44 C24 H266 #1634d1
3669 S L44 C17 H268 #2c44ae
3670 S L45 C20 H269 #2d41c0
3671 R L45 C32 H266 #1400fc
3672 S L46 C16 H259 #1653af
3673 S L46 C22 H268 #2641d3
3674 R L47 C32 H260 #0050c1
3675 S L48 C27 H269 #2b35f2
